Age,Monthly Income (INR),Risk Appetite,Time Horizon (Years),Investment Goal,Recommended SIP Funds,score,Predicted Score,Cluster
35,53820,2,6,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",16154.800000000001,16235.72022493994,2
27,54849,2,7,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",16461.900000000005,16435.898708528664,2
24,40565,2,17,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",12178.099999999999,12016.357001091557,2
42,142096,2,1,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",42638.1,42694.153078135365,2
31,70128,2,8,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",21046.899999999998,21056.73142133891,2
37,42820,2,1,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",12854.0,12780.634861544595,2
30,109283,0,9,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",32792.9,32790.14192016239,0
31,94484,2,5,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",28353.000000000004,28439.36368037603,2
25,72633,1,8,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",21796.999999999996,21815.164302458983,0
54,32968,1,17,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",9904.8,9888.60156731356,1
36,38979,2,3,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",11702.199999999999,11694.469103300937,2
26,146075,2,8,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",43830.0,43815.98108485015,2
31,88251,0,17,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",26485.0,26447.700654706034,1
58,61112,0,7,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",18346.699999999997,18333.138266072354,1
24,117548,2,14,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",35272.50000000001,35273.48284870971,2
31,114875,0,5,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",34469.899999999994,34473.611609814514,0
59,49108,1,4,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",14745.199999999999,14833.213225184734,1
35,144090,1,11,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",43236.399999999994,43229.898453957605,1
55,131031,1,8,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",39322.09999999999,39436.742029611414,1
51,91244,1,18,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",27387.2,27317.303107788863,1
43,135602,0,17,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",40692.7,40756.40121816413,1
39,130455,1,18,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",39148.299999999996,39159.418880349025,0
27,54291,2,8,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",16294.9,16244.086956208808,2
60,136859,0,13,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",41072.399999999994,41043.05658306186,1
24,118303,2,19,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",35500.100000000006,35442.62164695218,2
53,135632,0,12,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",40702.7,40760.73873756808,1
42,72539,0,10,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",21772.100000000002,21752.724586689885,1
31,86024,1,9,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",25815.5,25779.768969705492,1
35,138189,1,11,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",41466.09999999999,41472.46940424532,1
22,94752,2,5,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",28431.4,28451.171025033884,2
40,36940,0,14,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",11093.099999999999,11041.623885085775,0
45,75656,0,5,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",22706.899999999998,22648.80215864045,1
38,145964,2,6,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",43798.7,43731.5748612551,2
53,109738,1,15,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",32935.299999999996,32936.70204578348,1
49,87075,0,12,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",26134.8,26102.877901165633,1
32,114339,2,18,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",34312.4,34312.2833164141,2
29,133006,2,16,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",39911.5,39958.16085471831,2
38,104349,2,19,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",31316.599999999995,31307.17024705719,2
32,85533,1,18,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",25670.3,25765.110934214194,0
23,94301,2,13,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",28297.899999999998,28283.11433491268,2
56,26499,0,18,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",7964.8,7834.171368574907,0
23,96512,1,20,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",28962.399999999998,28926.173800724446,1
44,23336,2,13,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",7012.8,7016.399992547826,2
49,73126,2,9,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",21950.0,22014.58297947067,2
38,69006,2,12,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",20712.4,20749.89982801743,2
41,145679,2,3,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",43713.2,43644.82355130636,2
36,132162,0,19,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",39659.799999999996,39581.826068867456,0
44,104131,1,6,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",31249.8,31237.645327801234,0
27,107491,0,17,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",32256.300000000003,32249.460946909883,0
60,131411,1,16,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",39438.69999999999,39411.57148727523,1
20,148030,0,17,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",44416.4,44624.810362922464,1
31,44533,1,13,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",13369.000000000002,13300.2412099683,1
20,148160,2,12,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",44454.8,44551.31984851369,2
54,23885,2,18,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",7180.400000000001,7203.1682506777515,2
44,58627,2,11,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",17599.5,17638.430787428348,2
31,118350,1,18,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",35515.299999999996,35549.424761334136,0
56,127930,2,4,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",38391.4,38407.80270267857,2
38,81649,2,16,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",24506.0,24457.945299742056,2
28,147719,2,12,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",44324.2,44545.905082004094,2
49,127988,0,16,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",38409.6,38401.10587311399,0
57,92047,1,20,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",27630.0,27600.034819589706,0
40,145425,1,13,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",43638.299999999996,43620.48892768017,1
53,144033,2,3,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",43221.7,43200.39304057603,2
20,129104,1,19,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",38739.2,38717.03027854293,1
38,96450,1,18,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",28946.399999999998,28923.62303478048,1
52,72656,2,11,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",21810.000000000004,21826.649678610705,2
33,35246,1,18,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",10584.400000000001,10591.130834601374,0
57,104368,1,18,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",31325.8,31349.197958991896,0
37,38935,2,10,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",11690.5,11652.988212413784,2
44,39210,0,17,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",11775.4,11943.408050758904,0
34,121338,2,16,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",36411.8,36387.085699620926,2
57,28013,0,10,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",8417.5,8441.312228205265,0
29,110430,0,1,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",33135.3,33133.60554452541,0
52,69110,1,15,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",20746.7,20770.851595892807,1
21,146987,0,17,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",44103.899999999994,44133.77007129926,0
48,61399,1,8,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",18431.3,18505.434870286874,0
54,64881,2,20,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",19479.5,19476.6784738495,2
45,44902,2,7,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",13481.6,13504.028843491167,2
53,71006,0,7,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",21314.0,21346.10687913198,0
35,121850,1,7,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",36563.799999999996,36591.98364250637,0
41,71227,2,20,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",21380.7,21364.343935335033,2
39,133989,1,19,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",40208.7,40263.8452312817,0
37,78762,1,13,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",23638.899999999998,23597.59636065763,1
51,46464,2,13,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",13952.4,13912.141970412704,2
26,114107,0,5,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",34238.399999999994,34199.237697529534,1
46,58788,2,20,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",17650.0,17639.249339703514,2
24,41585,1,17,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",12484.1,12524.797196140886,0
24,117238,2,9,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",35178.50000000001,35159.341181246215,2
35,22411,2,5,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",6731.7,6344.3515108294305,2
32,70881,1,10,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",21273.2,21211.04169419807,0
57,108089,0,11,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",32440.5,32417.266096574855,0
36,90439,2,3,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",27139.9,27161.132370468153,2
22,51500,2,5,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",15456.099999999999,15428.776857554782,2
52,138809,1,14,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",41656.1,41734.80271542317,1
21,61093,1,2,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",18333.0,18306.222854490927,0
47,28803,1,8,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",8652.300000000001,8692.209729682063,0
55,24543,0,7,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",7375.4,7384.096495210738,1
36,99590,0,3,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",29885.1,29868.092016943334,0
52,137243,2,1,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",41183.9,41238.12406589084,2
56,136757,1,3,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",41039.29999999999,41046.28892025486,0
30,125733,2,5,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",37727.600000000006,37744.22509748836,2
53,31650,2,3,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",9506.6,9457.94326410422,2
30,76096,2,11,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",22837.4,22865.68040057442,2
43,64820,1,12,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",19457.2,19410.627477100563,1
59,87575,1,3,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",26285.399999999998,26272.82127346628,0
32,35081,1,20,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",10535.199999999999,10505.944147376715,0
43,29231,1,11,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",8780.6,8863.078861605329,0
53,44456,0,18,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",13351.1,13263.69974929173,1
36,135915,1,9,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",40784.0,40785.183520742736,0
58,67610,2,13,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",20297.899999999998,20343.820353813073,2
60,82609,2,11,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",24797.600000000002,24761.199659954782,2
44,86169,1,13,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",25862.399999999998,25889.497949375407,1
50,115285,2,11,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",34598.4,34631.5607884281,2
31,53749,1,18,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",16134.7,16208.568252661385,1
52,61010,0,11,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",18315.9,18304.26329007704,0
30,43083,0,7,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",12932.3,13008.737569827232,1
51,109834,1,16,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",32963.79999999999,32953.629975524585,1
27,25205,0,15,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",7569.9,7585.557050099358,1
20,107901,0,13,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",32376.999999999996,32395.336660636363,1
28,117790,2,13,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",35345.7,35391.40732697513,2
23,112670,0,7,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",33807.1,33780.64183178616,1
56,37609,1,5,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",11295.4,11281.881508487468,0
49,23638,1,20,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",7105.4,7218.098915131898,1
40,102968,1,17,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",30902.1,30847.039590050998,1
43,77088,0,20,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",23139.099999999995,23220.87523739255,1
29,65019,0,13,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",19514.399999999998,19647.967748540806,0
50,25839,2,14,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",7765.0,7720.750083980466,2
49,141910,0,19,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",42586.90000000001,42543.92244206498,0
45,26984,1,19,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",8108.4,8048.135134045283,0
50,134615,0,1,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",40394.799999999996,40275.43485376935,1
35,130813,0,17,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",39254.5,39180.60380082002,0
21,71157,1,12,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",21354.2,21315.872532840574,0
30,52728,0,15,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",15827.4,15807.548190642005,1
24,126604,0,11,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",37988.299999999996,37938.43923530897,1
48,38782,0,1,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",11644.7,11644.61078446281,0
43,64453,0,15,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",19347.499999999996,19423.36617951063,1
50,56133,1,14,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",16852.899999999998,16919.40414680513,1
21,86351,0,4,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",25910.5,25858.003584919876,0
47,74423,0,7,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",22338.0,22318.2320755856,0
45,49475,2,4,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",14852.699999999999,14834.311911378803,2
31,148699,1,17,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",44619.59999999999,44655.35205054128,1
35,93346,0,15,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",28013.899999999998,27972.363570203168,1
22,74657,2,7,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",22403.500000000004,22378.630278917888,2
47,129252,0,18,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",38788.6,38816.16934510078,1
50,56539,1,13,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",16974.8,16917.209695913476,0
25,117359,0,7,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",35214.2,35212.731794822175,1
46,68726,2,3,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",20628.0,20603.295660710166,2
53,90535,0,8,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",27172.699999999997,27278.445463563843,1
44,24812,2,3,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",7453.599999999999,7358.691752082558,2
40,55810,2,8,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",16753.1,16712.218262218725,2
29,102307,0,10,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",30699.999999999996,30677.732493236846,1
57,27135,2,6,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",8153.799999999999,8171.64731776003,2
60,105577,2,8,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",31687.199999999997,31667.94795865391,2
45,118852,2,10,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",35667.3,35679.57111653413,2
43,90169,2,13,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",27062.399999999998,26943.745010365306,2
57,26480,0,7,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",7956.999999999999,7900.729692756883,0
