AMC,Fund Name,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk,score,Predicted Score,Cluster
kotak mahindra mutual fund,Kotak Gilt Investment PF & Trust-G,3,3,1.53%,94.34,9.26,5.71,Rs.100.0,Abhishek Bisen,3643.14,Debt,Moderate,8.988000000000001,9.024838869329404,0
kotak mahindra mutual fund,Kotak Gilt Investment Regular-G,3,3,1.53%,92.22,9.25,5.71,Rs.100.0,Abhishek Bisen,3643.14,Debt,Moderate,8.984,8.884452082183879,0
kotak mahindra mutual fund,Kotak Equity Savings Reg-G,4,5,2.39%,25.53,20.39,12.76,Rs.100.0,Abhishek Bisen,7114.71,Hybrid,Moderately High,18.26,18.112269791889684,0
kotak mahindra mutual fund,Kotak Nifty 50 Index Reg-G,0,2,5.06%,16.37,26.97,14.08,Rs.100.0,Abhishek Bisen,751.07,Other,Very High,18.42,18.32686052175726,2
mirae asset mutual fund,Mirae Asset Liquid-G,3,4,0.58%,2592.72,7.34,6.0,Rs.500.0,Abhishek Iyer,12648.37,Debt,Low to Moderate,9.336,9.322151176921189,0
mirae asset mutual fund,Mirae Asset Overnight Reg-G,0,4,0.54%,1259.04,6.74,5.63,Rs.500.0,Abhishek Iyer,616.04,Debt,Low,8.948,8.940133151625327,0
motilal oswal mutual fund,Motilal Oswal ELSS Tax Saver Reg-G,4,4,9.28%,54.55,66.25,25.68,Rs.500.0,Aditya Khemani,3983.77,Equity,Very High,40.772,39.69245700029443,1
motilal oswal mutual fund,Motilal Oswal Large and Midcap Reg-G,4,5,9.15%,33.62,59.53,25.94,Rs.500.0,Aditya Khemani,5810.75,Equity,Very High,39.188,39.49832630508507,1
navi mutual fund,Navi Aggressive Hybrid Reg-G,2,2,5.15%,20.84,24.79,13.81,Rs.10.0,Aditya Mulki,111.92,Hybrid,Very High,17.44,17.218592831445477,2
navi mutual fund,Navi Nifty 50 Index Reg-G,0,3,5.06%,16.3,27.25,14.31,Rs.10.0,Aditya Mulki,2448.7,Other,Very High,19.624000000000002,19.60225352069553,2
navi mutual fund,Navi Flexi Cap Reg-G,0,2,4.88%,24.08,26.42,15.3,Rs.10.0,Aditya Mulki,278.85,Equity,Very High,18.688000000000002,18.653678511422434,2
navi mutual fund,Navi Large & Midcap-G,1,1,5.76%,37.11,28.66,16.32,Rs.10.0,Aditya Mulki,328.75,Equity,High ,18.992,18.722848199103982,2
navi mutual fund,Navi Conservative Hybrid Reg-G,2,2,1.37%,26.27,10.06,6.03,Rs.10.0,Aditya Mulki,35.75,Hybrid,Moderate,8.436,8.795011101248935,2
axis mutual fund,Axis Floater Reg-G,4,1,1.38%,1220.55,9.7,6.63,Rs.100.0,Aditya Pagaria,259.41,Debt,Moderate,7.532,7.483446590828685,2
axis mutual fund,Axis Gold Reg-G,0,5,3.51%,21.78,22.78,14.61,Rs.100.0,Aditya Pagaria,555.96,Other,High,19.956,19.796038796662312,0
axis mutual fund,Axis Banking & PSU Debt-G,4,4,0.68%,2470.27,7.25,5.45,Rs.1000.0,Aditya Pagaria,13282.68,Debt,Moderate,9.08,9.12030334819761,0
axis mutual fund,Axis Ultra Short Term Reg-G,3,3,0.54%,13.93,6.82,5.47,Rs.1000.0,Aditya Pagaria,5949.05,Debt,Low to Moderate,7.916,7.931928669619242,0
axis mutual fund,Axis Overnight Reg-G,0,5,0.54%,1300.89,6.79,5.67,Rs.500.0,Aditya Pagaria,7875.74,Debt,Low,9.984,9.978246719707384,0
franklin templeton mutual fund,Franklin India Focused Equity-G,4,4,5.63%,111.74,36.94,20.48,Rs.500.0,Ajay Argal,12740.06,Equity,Moderately High ,26.968,26.824259219263254,1
franklin templeton mutual fund,Franklin Build India-G,4,3,3.17%,145.29,59.67,32.42,Rs.500.0,Ajay Argal,2904.32,Equity,Very High,39.836000000000006,41.09025655423701,1
uti mutual fund,UTI Flexi Cap Reg-G,0,1,8.05%,333.47,27.89,8.18,Rs.500.0,Ajay Tyagi,27053.06,Equity,Very High,15.428,13.593063816238297,2
tata mutual fund,Tata Floating Rate Reg-G,3,4,0.67%,11.96,7.27,5.88,Rs.500.0,Akhil Mittal,197.11,Debt,Low to Moderate,9.26,9.2404797836026,0
tata mutual fund,Tata Treasury Advantage Reg-G,4,4,0.57%,3701.9,7.17,5.68,Rs.500.0,Akhil Mittal,2641.14,Debt,Low to Moderate,9.14,9.138637241695351,0
tata mutual fund,Tata Ultra Short Term Fund Reg-G,3,2,0.54%,13.4,6.79,5.43,Rs.500.0,Akhil Mittal,2733.78,Debt,Low to Moderate,6.888,6.878083804920531,2
tata mutual fund,Tata GSF Reg-G,3,3,1.02%,73.84,8.18,5.54,Rs.500.0,Akhil Mittal,763.15,Debt,Moderate,8.488000000000001,8.4770998620576,0
lic mutual fund,LIC MF Value Reg-G,1,2,6.88%,26.48,42.83,19.12,Rs.1000.0,Alok Ranjan,126.94,Equity,High ,26.78,26.324196162343704,1
lic mutual fund,LIC MF Focused Reg-G,2,3,6.96%,22.88,31.5,15.02,Rs.1000.0,Alok Ranjan,152.71,Equity,Very High,21.608,21.55599782051521,1
lic mutual fund,LIC MF Midcap Reg-G,2,1,4.70%,30.83,53.11,20.62,Rs.1000.0,Alok Ranjan,328.26,Equity,High ,30.492,30.56969034638441,1
lic mutual fund,LIC MF Small Cap Reg-G,3,3,6.78%,34.03,56.19,28.26,Rs.1000.0,Alok Ranjan,348.02,Equity,Very High ,36.78,39.39588693436198,1
lic mutual fund,LIC MF Healthcare Reg-G,0,1,8.89%,29.94,55.38,14.38,Rs.1000.0,Alok Ranjan,71.64,Equity,Very High,28.904000000000003,28.090304766694096,2
bank of india mutual fund,Bank of India Balanced Advantage Reg-G,2,2,2.70%,25.31,22.28,15.38,Rs.1000.0,Alok Singh,139.94,Hybrid,Very High,17.064,17.337348415191848,2
bank of india mutual fund,Bank of India Flexi Cap Reg-G,0,4,4.05%,36.76,55.3,24.3,Rs.1000.0,Alok Singh,1834.57,Equity,Moderate ,35.84,35.91958214067571,1
bank of india mutual fund,Bank of India Arbitrage Reg-G,0,1,0.50%,13.13,6.91,4.93,Rs.1000.0,Alok Singh,35.68,Hybrid,Low,5.736000000000001,5.830450375293101,2
bank of india mutual fund,Bank of India Conservative Hybrid Reg-G,4,5,1.00%,33.31,12.21,13.23,Rs.1000.0,Alok Singh,65.8,Hybrid,Moderately High,15.176000000000002,14.936711999382494,0
bank of india mutual fund,Bank of India Mid & Small Cap Equity &,5,5,3.46%,39.51,42.48,19.76,Rs.1000.0,Alok Singh,978.12,Hybrid,High ,29.896,30.215082534295433,1
bank of india mutual fund,Bank of India ELSS Tax Saver Reg-G,5,5,1.96%,172.53,44.23,19.18,Rs.500.0,Alok Singh,1487.26,Equity,Moderate ,30.364,30.455201312951644,1
bank of india mutual fund,Bank of India Credit Risk Reg-G,3,3,0.28%,11.61,6.0,39.07,Rs.5000.0,Alok Singh,115.0,Debt,Moderately High,21.028,19.220165796744897,1
uti mutual fund,UTI Conservative Hybrid Reg-G,4,4,2.34%,66.75,16.32,10.01,Rs.500.0,Amandeep Singh Chopra,1640.72,Hybrid,Moderately High,14.532,14.660566009859552,0
uti mutual fund,UTI Liquid Reg-G,4,4,0.57%,4055.46,7.32,6.0,Rs.500.0,Amandeep Singh Chopra,23290.82,Debt,Moderate,9.328000000000001,9.270648933441763,0
uti mutual fund,UTI Medium to Long Duration Reg-G,3,5,1.12%,69.19,8.12,10.4,Rs.500.0,Amandeep Singh Chopra,307.07,Debt,Moderate,12.408,12.701859999026572,0
nippon india mutual fund,Nippon India Consumption-G,3,5,6.88%,217.11,45.54,24.47,Rs.100.0,Amar Kalkundrikar,1700.54,Equity,High ,33.004000000000005,33.077561688903046,1
nippon india mutual fund,Nippon India Vision-G,3,3,6.30%,1474.68,46.62,21.52,Rs.100.0,Amar Kalkundrikar,5375.02,Equity,High ,30.256,30.028072422433755,1
tata mutual fund,Tata Banking and Financial Services Reg-G,4,3,7.30%,39.93,21.9,14.84,Rs.100.0,Amey Sathe,2302.4,Equity,Very High,17.696,17.7817227127117,2
tata mutual fund,Tata Large Cap Reg-G,3,3,3.83%,515.8,33.68,16.15,Rs.100.0,Amey Sathe,2472.14,Equity,Moderate ,22.932000000000002,22.787986419861046,1
invesco mutual fund,Invesco India Balanced Advantage-G,3,2,3.18%,53.23,26.53,12.84,Rs.500.0,Amit Ganatra,865.59,Hybrid,Very High,17.748,17.753156028971027,2
uti mutual fund,UTI Value Reg-G,3,3,6.00%,173.27,45.66,20.32,Rs.500.0,Amit Kumar Premchandani,10543.09,Equity,High ,29.392,29.583379322021532,1
uti mutual fund,UTI Banking and Financial Services Reg-G,2,2,5.35%,174.09,23.3,14.05,Rs.500.0,Amit Kumar Premchandani,1150.06,Equity,Very High,16.94,16.948706233121055,2
lic mutual fund,LIC MF Flexi Cap-G,0,3,7.16%,106.6,36.14,16.64,Rs.1000.0,Amit Nadekar,1108.79,Equity,Moderate ,24.112000000000002,24.122041255060434,1
lic mutual fund,LIC MF ELSS Tax Saver-G,2,2,6.00%,157.64,36.59,17.07,Rs.1000.0,Amit Nadekar,1192.26,Equity,Moderate ,23.464000000000002,23.27818366930327,2
invesco mutual fund,Invesco India Largecap-G,4,4,6.12%,70.78,39.91,17.3,Rs.100.0,Amit Nigam,1238.12,Equity,Moderate ,26.884,26.90710283745551,1
invesco mutual fund,Invesco India Infrastructure-G,4,4,4.54%,68.22,66.96,31.7,Rs.500.0,Amit Nigam,1659.96,Equity,Very High,43.464,43.00553344636865,1
invesco mutual fund,Invesco India Equity Savings Fund Reg-G,3,3,2.84%,16.67,22.28,10.05,Rs.500.0,Amit Nigam,264.46,Hybrid,Moderately High,15.932000000000002,15.676402239202742,2
invesco mutual fund,Invesco India ELSS Tax Saver -G,3,2,7.09%,131.51,43.43,17.26,Rs.500.0,Amit Nigam,2990.74,Equity,Moderate ,26.276,26.607355380165423,1
invesco mutual fund,Invesco India Aggressive Hybrid Reg-G,2,3,6.24%,22.65,39.21,16.31,Rs.500.0,Amit Nigam,522.02,Hybrid,Moderate ,25.208000000000002,25.488696271123057,1
uti mutual fund,UTI Overnight Reg-G,3,5,0.54%,3341.45,6.76,5.64,Rs.500.0,Amit Sharma,3096.95,Debt,Low,9.96,9.910038991621825,0
tata mutual fund,Tata Liquid Reg-G,5,3,0.57%,3892.45,7.3,5.95,Rs.500.0,Amit Somani,19852.61,Debt,Low to Moderate,8.3,8.300059349011793,0
tata mutual fund,Tata Money Market Reg-G,4,4,0.59%,4443.64,7.61,6.21,Rs.500.0,Amit Somani,27628.33,Debt,Low to Moderate,9.528,9.5081913250541,0
tata mutual fund,Tata Overnight Reg-G,0,3,0.53%,1293.58,6.7,5.58,Rs.500.0,Amit Somani,4941.57,Debt,Low,7.912000000000001,7.8694490409132145,0
hdfc mutual fund,HDFC Banking & Financial Services Reg-G,3,4,7.10%,16.0,22.96,14.73,Rs.100.0,Anand Laddha,3618.22,Equity,Very High,19.076,18.996918868252703,0
franklin templeton mutual fund,Franklin India Flexi Cap-G,0,4,5.60%,1676.01,41.26,22.05,Rs.500.0,Anand Radhakrishnan,17842.8,Equity,Moderate ,29.324,29.295460181964188,1
franklin templeton mutual fund,Franklin India Equity Hybrid-G,3,4,3.47%,268.8,29.71,15.18,Rs.500.0,Anand Radhakrishnan,2029.67,Hybrid,Very High,21.956,22.020036458436522,1
franklin templeton mutual fund,Franklin India Debt Hybrid A-G,4,3,1.65%,86.57,14.49,8.5,Rs.500.0,Anand Radhakrishnan,206.55,Hybrid,Moderately High,12.196000000000002,11.680034924422776,0
franklin templeton mutual fund,Franklin India Debt Hybrid A-G Plan B,0,3,1.65%,86.57,14.49,8.5,Rs.500.0,Anand Radhakrishnan,206.55,Hybrid,Moderately High,12.196000000000002,11.680034924422776,0
franklin templeton mutual fund,Templeton India Value-G,4,4,3.65%,759.29,40.79,25.86,Rs.500.0,Anand Radhakrishnan,2278.96,Equity,Very High,30.66,30.45451462668729,1
franklin templeton mutual fund,Franklin India Equity Savings Reg-G,2,2,1.34%,15.74,11.72,7.85,Rs.500.0,Anand Radhakrishnan,671.3,Hybrid,Low to Moderate,9.828000000000001,9.892495876883574,2
franklin templeton mutual fund,Franklin India ELSS Tax Saver-G,3,4,5.70%,1521.92,42.29,22.31,Rs.500.0,Anand Radhakrishnan,7143.11,Equity,Moderate ,29.84,29.381788687670916,1
franklin templeton mutual fund,Franklin India Bluechip-G,2,2,5.45%,1039.86,33.49,14.18,Rs.500.0,Anand Radhakrishnan,8234.6,Equity,Very High,21.068,20.194971444940318,2
hdfc mutual fund,HDFC Short Term Debt-G,4,4,0.75%,29.97,8.01,5.83,Rs.100.0,Anil Bamboli,14105.2,Debt,Moderate,9.536000000000001,9.583312702491824,0
hdfc mutual fund,HDFC Ultra Short Term Fund Reg-G,4,4,0.57%,14.29,7.27,5.85,Rs.100.0,Anil Bamboli,14543.31,Debt,Low to Moderate,9.248,9.274808813544487,0
hdfc mutual fund,HDFC Arbitrage Wholesale-G,4,3,0.56%,29.06,7.74,5.95,Rs.100.0,Anil Bamboli,15819.35,Hybrid,Low,8.476,8.448736004572494,0
hdfc mutual fund,HDFC Gilt-G,3,3,1.21%,52.35,9.15,5.5,Rs.100.0,Anil Bamboli,2645.04,Debt,Moderate,8.860000000000001,8.852745551061851,0
hdfc mutual fund,HDFC Asset Allocator FoF Reg-G,0,4,3.25%,17.15,24.01,15.56,Rs.100.0,Anil Bamboli,3243.96,Other,High,19.828000000000003,19.769648704485434,0
hdfc mutual fund,HDFC Multi Asset-G,5,3,3.04%,68.22,23.8,13.31,Rs.100.0,Anil Bamboli,3524.55,Hybrid,High,17.844,17.822684719966478,2
hdfc mutual fund,HDFC Dynamic PE Ratio FoF Reg-G,1,5,3.09%,39.87,21.86,15.25,Rs.100.0,Anil Bamboli,48.54,Other,High,19.844,19.229355811286087,0
hdfc mutual fund,HDFC Equity Savings-G,4,3,1.80%,64.28,17.19,10.82,Rs.100.0,Anil Bamboli,5051.75,Hybrid,Moderately High,14.204,14.235535244091317,0
hdfc mutual fund,HDFC Banking and PSU Debt Reg-G,4,4,0.72%,21.56,7.55,5.52,Rs.100.0,Anil Bamboli,5919.26,Debt,Moderate,9.228,9.20628159710357,0
hdfc mutual fund,HDFC Dynamic Debt-G,3,3,1.17%,85.12,9.04,5.21,Rs.100.0,Anil Bamboli,747.88,Debt,Moderate,8.7,8.716777403462245,0
hdfc mutual fund,HDFC Dynamic Debt-G 54EA,0,3,1.17%,85.12,9.04,5.21,Rs.100.0,Anil Bamboli,747.88,Debt,Moderate,8.7,8.716777403462245,0
hdfc mutual fund,HDFC Dynamic Debt-G 54EB,0,3,1.17%,85.12,9.04,5.21,Rs.100.0,Anil Bamboli,747.88,Debt,Moderate,8.7,8.716777403462245,0
hdfc mutual fund,HDFC Balanced Advantage-G,5,5,1.87%,510.83,33.79,23.75,Rs.100.0,Anil Bamboli,95391.46,Hybrid,Moderate ,28.016,28.3186618594605,1
hdfc mutual fund,HDFC Overnight-G,3,2,0.53%,3626.68,6.68,5.56,Rs.100.0,Anil Bamboli,9577.9,Debt,Low,6.896,6.843176892239987,2
dsp mutual fund,DSP Nifty 50 Equal Weight Index Reg-G,0,4,5.79%,26.14,37.6,19.38,Rs.100.0,Anil Ghelani,1787.49,Other,Low ,26.792,26.800507870124704,1
dsp mutual fund,DSP Nifty 50 Index Reg-G,0,3,5.05%,24.28,27.18,14.27,Rs.100.0,Anil Ghelani,630.65,Other,Very High,19.58,19.600377722023424,2
dsp mutual fund,DSP Nifty Next 50 Index Reg-G,0,4,5.34%,29.09,64.99,20.95,Rs.100.0,Anil Ghelani,777.91,Other,Low ,38.376,38.28655037584006,1
aditya birla sun life mutual fund,Aditya Birla SL Flexi Cap Reg-G,0,2,7.10%,1804.24,36.75,15.92,Rs.100.0,Anil Shah,23228.33,Equity,Moderate ,23.068,23.284988538454847,2
aditya birla sun life mutual fund,Aditya Birla SL Mid Cap Reg-G,2,2,7.74%,825.5,45.57,21.98,Rs.100.0,Anil Shah,6148.92,Equity,High ,29.020000000000003,28.934153771581503,1
pgim india mutual fund,PGIM India Small Cap Reg-G,1,1,7.58%,16.74,37.55,16.8,Rs.1000.0,Aniruddha Naha,1578.03,Equity,Very High ,22.740000000000002,23.185193611759974,2
pgim india mutual fund,PGIM India Flexi Cap Reg-G,0,2,6.67%,36.8,29.4,11.51,Rs.1000.0,Aniruddha Naha,6561.98,Equity,Very High,18.364,18.630276084101638,2
nippon india mutual fund,Nippon India Arbitrage-G,0,4,0.51%,25.21,7.55,5.9,Rs.100.0,Anju Chhajer,15827.4,Hybrid,Low,9.38,9.35101894159001,0
nippon india mutual fund,Nippon India Money Market-G,4,4,0.59%,3905.17,7.6,6.28,Rs.100.0,Anju Chhajer,17581.83,Debt,Low to Moderate,9.552,9.514975065180506,0
nippon india mutual fund,Nippon India Liquid-G,5,3,0.57%,6033.3,7.31,5.96,Rs.100.0,Anju Chhajer,32552.32,Debt,Moderate,8.308,8.292644756775845,0
nippon india mutual fund,Nippon IndiaLow Duration-G,4,3,0.56%,3523.72,7.05,5.64,Rs.100.0,Anju Chhajer,6261.57,Debt,Low to Moderate,8.076,8.069087059115141,0
nippon india mutual fund,Nippon India Floating Rate-G,4,3,0.72%,42.24,7.73,5.79,Rs.100.0,Anju Chhajer,7708.05,Debt,Moderate,8.408000000000001,8.405491014679031,0
nippon india mutual fund,Nippon India Overnight Reg-G,0,4,0.54%,131.71,6.72,5.62,Rs.100.0,Anju Chhajer,8498.93,Debt,Low,8.936,8.932869605381047,0
uti mutual fund,UTI Mid Cap Reg-G,2,2,6.12%,324.15,41.91,20.3,Rs.500.0,Ankit Agarwal,12646.34,Equity,High ,26.884,27.1839891604842,1
uti mutual fund,UTI Small Cap Reg-G,2,2,7.48%,26.92,40.85,23.2,Rs.500.0,Ankit Agarwal,4572.85,Equity,Very High ,27.619999999999997,27.69348018531789,1
mirae asset mutual fund,Mirae Asset Midcap Reg-G,3,3,6.23%,37.47,41.75,22.22,Rs.500.0,Ankit Jain,17560.99,Equity,High ,28.588,28.504837574303348,1
mirae asset mutual fund,Mirae Asset Great Consumer Reg-G,4,4,7.44%,101.32,43.99,22.78,Rs.500.0,Ankit Jain,4233.21,Equity,High ,30.708,30.49571979153433,1
taurus mutual fund,Taurus Flexi Cap Reg-G,0,2,3.81%,240.02,36.02,17.29,Rs.500.0,Ankit Tikmany,387.17,Equity,Moderate ,23.324,23.72222282825043,2
taurus mutual fund,Taurus Large Cap Reg-G,1,2,2.99%,161.48,36.44,16.12,Rs.500.0,Ankit Tikmany,51.98,Equity,Moderate ,23.024,23.103979320590113,2
taurus mutual fund,Taurus Large Cap Reg-G Bonus,0,2,2.99%,161.48,36.44,16.12,Rs.500.0,Ankit Tikmany,51.98,Equity,Moderate ,23.024,23.103979320590113,2
hsbc mutual fund,HSBC Focused Fund Reg-G,3,2,6.88%,25.64,37.43,15.66,Rs.500.0,Ankur Arora,1810.76,Equity,Very High,23.236,23.453401580718353,2
hsbc mutual fund,HSBC Large Cap-G,3,3,5.34%,492.11,34.29,15.65,Rs.500.0,Ankur Arora,2015.36,Equity,Very High,22.976000000000003,23.098600856636182,1
motilal oswal mutual fund,Motilal Oswal Multi Asset Reg-G,0,1,7.26%,14.31,15.24,9.94,Rs.500.0,Ankush Sood,110.21,Hybrid,Very High,11.072,11.893320758643917,2
bandhan mutual fund,Bandhan Sterling Value Reg-G,2,3,5.56%,156.4,39.04,23.26,Rs.100.0,Anoop Bhaskar,10412.26,Equity,High ,27.92,27.610071656986385,1
bandhan mutual fund,Bandhan Core Equity Reg-G,4,4,6.67%,138.17,55.87,26.66,Rs.100.0,Anoop Bhaskar,6552.58,Equity,Moderately High ,37.012,36.37417952449269,1
bandhan mutual fund,Bandhan Small Cap Reg-G,3,3,10.28%,48.18,75.93,28.98,Rs.100.0,Anoop Bhaskar,7534.2,Equity,Very High ,44.964000000000006,42.88010936438244,1
bandhan mutual fund,Bandhan Flexi Cap Reg-G,0,3,6.63%,213.11,36.79,16.69,Rs.100.0,Anoop Bhaskar,7757.92,Equity,Moderate ,24.392000000000003,24.214811246387345,1
bandhan mutual fund,Bandhan Hybrid Equity Reg-G,3,2,5.89%,25.21,29.7,13.98,Rs.100.0,Anoop Bhaskar,788.47,Hybrid,Very High,19.472,19.41208323155331,2
hdfc mutual fund,HDFCLow Duration-G,4,2,0.54%,54.4,7.09,5.72,Rs.100.0,Anupam Joshi,17940.45,Debt,Low to Moderate,7.1240000000000006,7.018915942808738,2
hdfc mutual fund,HDFC Corporate Bond-G,4,4,0.81%,30.48,8.08,5.83,Rs.100.0,Anupam Joshi,30370.8,Debt,Moderate,9.564,9.610286459314006,0
axis mutual fund,Axis Small Cap Reg-G,3,4,7.62%,108.36,39.6,22.75,Rs.100.0,Anupam Tiwari,23771.71,Equity,Very High ,28.94,28.72155388891919,1
uti mutual fund,UTI Money Market Reg-G,4,5,0.61%,2900.52,7.59,6.27,Rs.500.0,Anurag Mittal,15066.64,Debt,Moderate,10.544,10.514496692854777,0
uti mutual fund,UTILow Duration Reg-G,5,5,0.70%,3335.79,7.47,7.65,Rs.500.0,Anurag Mittal,2794.82,Debt,Low to Moderate,11.048,11.04052219683291,0
uti mutual fund,UTI Corporate Bond Reg-G,4,4,0.77%,15.34,7.76,5.54,Rs.500.0,Anurag Mittal,3943.43,Debt,Moderate,9.32,9.323579359115723,0
uti mutual fund,UTI Banking & PSU Reg-G,5,1,0.62%,20.55,7.47,7.72,Rs.500.0,Anurag Mittal,831.84,Debt,Moderate,7.0760000000000005,7.261806488268075,2
kotak mahindra mutual fund,Kotak Focused Equity Reg-G,3,3,4.88%,25.59,36.57,16.52,Rs.100.0,Arjun Khanna,3672.18,Equity,Moderately High ,24.236,24.253545047808707,1
axis mutual fund,Axis Nifty 100 Index Reg-G,0,3,5.00%,22.4,32.39,14.53,Rs.100.0,Ashish Naik,1695.2,Other,Very High,21.768,21.949533137544115,1
nippon india mutual fund,Nippon India Asset Allocator FoF Reg-G,0,5,4.03%,20.08,29.85,18.56,Rs.100.0,Ashutosh Bhargava,256.13,Other,Very High,24.364,24.62113161835438,1
edelweiss mutual fund,Edelweiss Flexi Cap Reg-G,0,4,6.38%,39.48,46.28,20.26,Rs.100.0,Ashwani Kumar Agarwalla,2340.48,Equity,Moderate ,30.616,30.525366925203205,1
edelweiss mutual fund,Edelweiss ELSS Tax Saver Reg-G,2,2,5.78%,113.51,37.6,17.38,Rs.500.0,Ashwani Kumar Agarwalla,403.56,Equity,Moderate ,23.992,24.015621393602117,2
jm financial mutual fund,JM Focused-G,2,4,4.06%,21.21,43.16,22.91,Rs.100.0,Asit Bhandarkar,164.83,Equity,Moderately High ,30.427999999999997,30.832146776282354,1
jm financial mutual fund,JM Arbitrage-G,3,2,0.48%,31.06,7.22,5.57,Rs.100.0,Asit Bhandarkar,179.85,Hybrid,Low,7.116,7.084767212636263,2
jm financial mutual fund,JM Aggressive Hybrid-G,4,5,4.81%,130.14,48.7,23.46,Rs.100.0,Asit Bhandarkar,578.07,Hybrid,Moderate ,33.864000000000004,33.73956172074379,1
jm financial mutual fund,JM ELSS Tax Saver-G,4,4,5.89%,52.26,51.46,22.94,Rs.500.0,Asit Bhandarkar,181.35,Equity,Moderate ,33.760000000000005,33.56660992139247,1
dsp mutual fund,DSP Flexi Cap -G,0,3,7.68%,106.95,39.11,16.44,Rs.100.0,Atul Bhole,12139.36,Equity,Moderate ,25.22,25.497210789308475,1
aditya birla sun life mutual fund,Aditya Birla SL ELSS Tax Saver Reg-G,2,1,6.31%,61.63,35.04,13.14,Rs.500.0,Atul Penkar,16830.53,Equity,Very High,20.272,20.09533089440974,2
aditya birla sun life mutual fund,Aditya Birla SL ELSS Tax Saver Reg-G LPS,2,1,6.31%,61.63,35.04,13.14,Rs.500.0,Atul Penkar,16830.53,Equity,Very High,20.272,20.09533089440974,2
canara robeco mutual fund,Canara Robeco Equity Hybrid Reg-G,3,3,4.83%,358.9,28.85,13.27,Rs.1000.0,Avnish Jain,11094.59,Hybrid,Very High,19.848,19.94851975460938,2
canara robeco mutual fund,Canara Robeco Dynamic Bond Reg-G,3,2,1.12%,28.12,8.2,5.12,Rs.1000.0,Avnish Jain,111.52,Debt,Moderate,7.327999999999999,7.313758402526822,2
canara robeco mutual fund,Canara Robeco Dynamic Bond Reg-G Auto Repurch,0,2,1.12%,28.12,8.2,5.12,Rs.1000.0,Avnish Jain,111.52,Debt,Moderate,7.327999999999999,7.313758402526822,2
canara robeco mutual fund,Canara Robeco Income Reg-G,3,2,0.94%,52.84,7.89,4.49,Rs.1000.0,Avnish Jain,116.18,Debt,Moderate,6.952,6.918705845587396,2
canara robeco mutual fund,Canara Robeco Income Reg-G Auto Repurchase,0,2,0.94%,52.84,7.89,4.49,Rs.1000.0,Avnish Jain,116.18,Debt,Moderate,6.952,6.918705845587396,2
canara robeco mutual fund,Canara Robeco Gilt Reg-G,3,3,1.36%,72.04,9.32,5.66,Rs.1000.0,Avnish Jain,117.1,Debt,Moderate,8.992,9.055720652116115,0
canara robeco mutual fund,Canara Robeco Gilt Reg-G Auto Repurchase,0,3,1.36%,72.04,9.32,5.66,Rs.1000.0,Avnish Jain,117.1,Debt,Moderate,8.992,9.055720652116115,0
